source,reference,source_mean,matched_mean,reference_mean,source_std,matched_std,reference_std
citywall1.bmp,citywall.bmp,104.45256042480469,114.91656112670898,108.41648483276367,79.50838666239936,65.48750826524557,72.0722276380675
citywall2.bmp,citywall.bmp,95.14714050292969,126.0420150756836,108.41648483276367,22.781185741068818,93.75283612340039,72.0722276380675
elain1.bmp,elain.bmp,109.97392272949219,150.81779861450195,135.37791442871094,103.35291922083121,30.1459513585669,46.050484974007716
elain2.bmp,elain.bmp,124.39735794067383,165.39082717895508,135.37791442871094,39.99295640967266,72.97174888399746,46.050484974007716
elain3.bmp,elain.bmp,35.98959732055664,169.11237335205078,135.37791442871094,5.291922402879533,72.81026696197445,46.050484974007716
lena1.bmp,lena.bmp,94.3740463256836,148.32673263549805,99.05121612548828,116.39728384849738,43.7009111821413,52.87751732904626
lena2.bmp,lena.bmp,199.00984954833984,101.17251205444336,99.05121612548828,10.15883391267922,52.90186846367763,52.87751732904626
lena4.bmp,lena.bmp,35.02617645263672,111.02617645263672,99.05121612548828,39.45766557919806,39.45766557919806,52.87751732904626
woman1.bmp,woman.BMP,47.48493995666504,163.16094570159913,122.21725711822509,75.40402678871106,21.814665940787435,63.36815832046414
woman2.bmp,woman.BMP,41.16788215637207,141.16788215637206,122.21725711822509,38.38811536815881,38.38811536815881,63.36815832046414
