image,method,kernel_size,sigma,mean,std,gradient_mean,laplacian_var
test1.pgm,gaussian,3x3,1.5,120.83486938476562,69.73031162851346,82.12135314941406,122.7684326171875
test1.pgm,gaussian,5x5,1.5,120.83677673339844,68.4954541780178,71.78941345214844,49.633880615234375
test1.pgm,gaussian,7x7,1.5,120.83415222167969,67.87059637862919,67.5735855102539,35.68212890625
test1.pgm,median,3x3,,120.36711120605469,70.72178952014524,82.68423461914062,309.61444091796875
test1.pgm,median,5x5,,119.8233642578125,70.19413618769624,67.66776275634766,151.65499877929688
test1.pgm,median,7x7,,119.45425415039062,69.6112705416214,58.344207763671875,100.27133178710938
test1.pgm,original,-,,120.83528137207031,71.33117814847853,97.62132263183594,685.79052734375
test2.tif,gaussian,3x3,1.5,135.08425521850586,40.82687363421835,39.4371223449707,70.48100280761719
test2.tif,gaussian,5x5,1.5,135.0837059020996,40.1323080682411,32.67445373535156,19.91516876220703
test2.tif,gaussian,7x7,1.5,135.08438110351562,39.83022688565149,30.477928161621094,13.423690795898438
test2.tif,median,3x3,,135.28118133544922,41.71563860539956,42.03953170776367,310.97412109375
test2.tif,median,5x5,,135.61380767822266,40.6870503747583,30.75008201599121,112.99639892578125
test2.tif,median,7x7,,135.75558471679688,40.169679850107805,26.037918090820312,63.66374206542969
test2.tif,original,-,,135.08391189575195,42.37475429182487,55.09037780761719,1077.9647216796875
